text,intensity,affect,stems
outraged,"0,964",anger,outrag
brutality,"0,959",anger,brutal
hatred,"0,953",anger,hatr
hateful,"0,94",anger,hate
terrorize,"0,939",anger,terror
infuriated,"0,938",anger,infuri
violently,"0,938",anger,violent
furious,"0,929",anger,furious
enraged,"0,927",anger,enrag
furiously,"0,927",anger,furious
screwyou,"0,924",anger,screwyou
murderer,"0,922",anger,murder
fury,"0,922",anger,furi
execution,"0,917",anger,execut
angered,"0,916",anger,anger
savagery,"0,915",anger,savageri
slaughtering,"0,914",anger,slaughter
veryangry,"0,913",anger,veryangri
assassinate,"0,912",anger,assassin
annihilation,"0,912",anger,annihil
fuckoff,"0,912",anger,fuckoff
rage,"0,911",anger,rage
loathe,"0,909",anger,loath
damnation,"0,906",anger,damnat
fucktard,"0,906",anger,fucktard
homicidal,"0,906",anger,homicid
roadrage,"0,906",anger,roadrag
furor,"0,9",anger,furor
hostile,"0,898",anger,hostil
annihilate,"0,898",anger,annihil
murder,"0,897",anger,murder
raging,"0,896",anger,rage
explosive,"0,894",anger,explos
infuriates,"0,894",anger,infuri
pissed,"0,894",anger,piss
ferocious,"0,894",anger,feroci
obliterated,"0,894",anger,obliter
rape,"0,894",anger,rape
vengeful,"0,894",anger,veng
sopissed,"0,894",anger,sopiss
killing,"0,893",anger,kill
combative,"0,891",anger,combat
gofuckyourself,"0,886",anger,gofuckyourself
vengeance,"0,886",anger,vengeanc
wrath,"0,885",anger,wrath
torment,"0,885",anger,torment
vicious,"0,884",anger,vicious
massacre,"0,882",anger,massacr
threatening,"0,882",anger,threaten
abhorrent,"0,875",anger,abhorr
pissoff,"0,875",anger,pissoff
bloodthirsty,"0,875",anger,bloodthirsti
fighting,"0,868",anger,fight
attacking,"0,865",anger,attack
annihilated,"0,865",anger,annihil
bloodshed,"0,864",anger,bloodsh
angriest,"0,864",anger,angriest
smite,"0,862",anger,smite
brawl,"0,861",anger,brawl
malicious,"0,859",anger,malici
tirade,"0,859",anger,tirad
assault,"0,859",anger,assault
hostility,"0,859",anger,hostil
explode,"0,859",anger,explod
assassination,"0,859",anger,assassin
strangle,"0,859",anger,strangl
loathsome,"0,857",anger,loathsom
murderous,"0,853",anger,murder
attack,"0,853",anger,attack
hell,"0,853",anger,hell
malice,"0,852",anger,malic
terrorism,"0,851",anger,terror
beating,"0,849",anger,beat
desecration,"0,848",anger,desecr
pissingmeoff,"0,848",anger,pissingmeoff
outrage,"0,848",anger,outrag
destroying,"0,844",anger,destroy
irate,"0,844",anger,irat
infuriate,"0,844",anger,infuri
stab,"0,844",anger,stab
violent,"0,844",anger,violent
tumultuous,"0,844",anger,tumultu
abomination,"0,844",anger,abomin
slaughter,"0,844",anger,slaughter
obliterate,"0,843",anger,obliter
belligerent,"0,841",anger,belliger
dumbbitch,"0,841",anger,dumbbitch
detest,"0,838",anger,detest
hostilities,"0,837",anger,hostil
prick,"0,835",anger,prick
torture,"0,833",anger,tortur
rabid,"0,833",anger,rabid
rampage,"0,833",anger,rampag
horrid,"0,833",anger,horrid
cruelty,"0,833",anger,cruelti
despicable,"0,828",anger,despic
tyrannical,"0,828",anger,tyrann
demonic,"0,828",anger,demon
hating,"0,828",anger,hate
ragemode,"0,828",anger,ragemod
hate,"0,828",anger,hate
satanic,"0,828",anger,satan
ruinous,"0,825",anger,ruinous
condemn,"0,825",anger,condemn
dickhead,"0,824",anger,dickhead
demolish,"0,824",anger,demolish
angry,"0,824",anger,angri
riots,"0,824",anger,riot
extermination,"0,824",anger,extermin
livid,"0,821",anger,livid
madman,"0,82",anger,madman
vindictive,"0,819",anger,vindict
terrorist,"0,818",anger,terrorist
threaten,"0,818",anger,threaten
hateyou,"0,818",anger,hateyou
effyou,"0,818",anger,effyou
ferocity,"0,818",anger,feroc
venomous,"0,818",anger,venom
abhor,"0,816",anger,abhor
savage,"0,814",anger,savag
atrocity,"0,814",anger,atroc
carnage,"0,814",anger,carnag
angrytweet,"0,812",anger,angrytweet
barbaric,"0,812",anger,barbar
vendetta,"0,812",anger,vendetta
destroyer,"0,812",anger,destroy
pissedoff,"0,812",anger,pissedoff
abuse,"0,812",anger,abus
fuming,"0,812",anger,fume
pissesmeoff,"0,812",anger,pissesmeoff
berserk,"0,812",anger,berserk
fierce,"0,812",anger,fierc
fucksake,"0,812",anger,fucksak
tyrant,"0,812",anger,tyrant
anger,"0,811",anger,anger
pieceofshit,"0,81",anger,pieceofshit
homicide,"0,803",anger,homicid
slam,"0,803",anger,slam
punching,"0,803",anger,punch
bitch,"0,803",anger,bitch
fights,"0,803",anger,fight
punched,"0,803",anger,punch
ruthless,"0,797",anger,ruthless
destructive,"0,797",anger,destruct
villainous,"0,797",anger,villain
slap,"0,791",anger,slap
yelling,"0,788",anger,yell
ragetweet,"0,788",anger,ragetweet
punishing,"0,788",anger,punish
diabolical,"0,788",anger,diabol
riot,"0,788",anger,riot
growthefuckup,"0,788",anger,growthefuckup
destroyed,"0,788",anger,destroy
retaliatory,"0,788",anger,retaliatori
slaughterhouse,"0,788",anger,slaughterhous
manslaughter,"0,783",anger,manslaught
clash,"0,783",anger,clash
detonation,"0,781",anger,deton
sinister,"0,781",anger,sinist
hellish,"0,781",anger,hellish
quarrel,"0,781",anger,quarrel
bloody,"0,781",anger,bloodi
loath,"0,781",anger,loath
treacherous,"0,779",anger,treacher
fumin,"0,779",anger,fumin
hateeee,"0,779",anger,hateee
accusing,"0,779",anger,accus
horrific,"0,773",anger,horrif
revulsion,"0,773",anger,revuls
madder,"0,773",anger,madder
retaliate,"0,773",anger,retali
scorn,"0,769",anger,scorn
deplorable,"0,766",anger,deplor
bomb,"0,766",anger,bomb
resent,"0,765",anger,resent
devastation,"0,765",anger,devast
anarchist,"0,765",anger,anarchist
firestorm,"0,765",anger,firestorm
contemptible,"0,764",anger,contempt
shittest,"0,76",anger,shittest
smash,"0,758",anger,smash
cruel,"0,758",anger,cruel
soangry,"0,758",anger,soangri
rant,"0,758",anger,rant
deadly,"0,758",anger,dead
outburst,"0,757",anger,outburst
snarl,"0,754",anger,snarl
offend,"0,75",anger,offend
crazed,"0,75",anger,craze
revolting,"0,75",anger,revolt
aggravating,"0,75",anger,aggrav
horror,"0,75",anger,horror
despise,"0,75",anger,despis
dontmesswithme,"0,75",anger,dontmesswithm
stfu,"0,75",anger,stfu
growling,"0,75",anger,growl
profane,"0,75",anger,profan
vulgarity,"0,75",anger,vulgar
douchebags,"0,75",anger,douchebag
fuckedoff,"0,742",anger,fuckedoff
violence,"0,742",anger,violenc
molestation,"0,742",anger,molest
screaming,"0,742",anger,scream
erupt,"0,742",anger,erupt
horrible,"0,742",anger,horribl
threat,"0,742",anger,threat
bastards,"0,741",anger,bastard
revenge,"0,738",anger,reveng
catastrophe,"0,735",anger,catastroph
menacing,"0,735",anger,menac
damn,"0,735",anger,damn
demon,"0,735",anger,demon
crushing,"0,735",anger,crush
thrash,"0,734",anger,thrash
riotous,"0,734",anger,riotous
fedup,"0,734",anger,fedup
deplore,"0,734",anger,deplor
warfare,"0,734",anger,warfar
argue,"0,734",anger,argu
vehement,"0,734",anger,vehement
persecute,"0,734",anger,persecut
flog,"0,734",anger,flog
revolt,"0,734",anger,revolt
altercation,"0,729",anger,alterc
warlike,"0,728",anger,warlik
shitday,"0,727",anger,shitday
castrate,"0,727",anger,castrat
mutiny,"0,727",anger,mutini
sabotage,"0,727",anger,sabotag
malevolent,"0,721",anger,malevol
strike,"0,721",anger,strike
disaster,"0,721",anger,disast
disastrous,"0,72",anger,disastr
madden,"0,719",anger,madden
scream,"0,719",anger,scream
arseholes,"0,719",anger,arsehol
brutal,"0,719",anger,brutal
horseshit,"0,719",anger,horseshit
bastarding,"0,719",anger,bastard
tumult,"0,719",anger,tumult
disdain,"0,719",anger,disdain
devil,"0,719",anger,devil
slay,"0,719",anger,slay
aggravates,"0,719",anger,aggrav
treachery,"0,719",anger,treacheri
vermin,"0,719",anger,vermin
scorching,"0,719",anger,scorch
choke,"0,719",anger,choke
spiteful,"0,719",anger,spite
mutilation,"0,714",anger,mutil
mangle,"0,714",anger,mangl
criminal,"0,714",anger,crimin
anarchism,"0,714",anger,anarch
punch,"0,713",anger,punch
denunciation,"0,713",anger,denunci
holocaust,"0,712",anger,holocaust
virulence,"0,712",anger,virul
fatal,"0,712",anger,fatal
blasphemous,"0,712",anger,blasphem
hurting,"0,712",anger,hurt
dontlikeyou,"0,712",anger,dontlikeyou
dumbasses,"0,712",anger,dumbass
battled,"0,712",anger,battl
crucifixion,"0,712",anger,crucifixion
irritated,"0,706",anger,irrit
evil,"0,706",anger,evil
atrocious,"0,706",anger,atroci
deranged,"0,706",anger,derang
kidnap,"0,703",anger,kidnap
aggravated,"0,703",anger,aggrav
assassin,"0,703",anger,assassin
scolding,"0,703",anger,scold
