text,intensity,affect,stems
torture,0.984,fear,tortur
terrorist,0.972,fear,terrorist
horrific,0.969,fear,horrif
terrorism,0.969,fear,terror
terrorists,0.969,fear,terrorist
suicidebombing,0.967,fear,suicidebomb
kill,0.962,fear,kill
homicidal,0.959,fear,homicid
terror,0.953,fear,terror
murderer,0.953,fear,murder
catastrophe,0.953,fear,catastroph
annihilate,0.953,fear,annihil
dying,0.948,fear,die
war,0.942,fear,war
bombing,0.938,fear,bomb
bomb,0.935,fear,bomb
missiles,0.934,fear,missil
horror,0.923,fear,horror
horrified,0.922,fear,horrifi
terrorize,0.922,fear,terror
brutality,0.922,fear,brutal
bloodthirsty,0.922,fear,bloodthirsti
murderous,0.92,fear,murder
massacre,0.911,fear,massacr
horrifying,0.906,fear,horrifi
mutilation,0.906,fear,mutil
assassinate,0.906,fear,assassin
terrifying,0.906,fear,terrifi
fatality,0.906,fear,fatal
horrors,0.906,fear,horror
demon,0.906,fear,demon
murder,0.906,fear,murder
devastation,0.906,fear,devast
killing,0.906,fear,kill
terrified,0.906,fear,terrifi
holocaust,0.906,fear,holocaust
suicidal,0.898,fear,suicid
kidnap,0.891,fear,kidnap
crucifixion,0.891,fear,crucifixion
slaughter,0.891,fear,slaughter
assault,0.891,fear,assault
doomed,0.888,fear,doom
poisoned,0.886,fear,poison
suicide,0.879,fear,suicid
explosion,0.879,fear,explos
disastrous,0.875,fear,disastr
dismemberment,0.875,fear,dismember
annihilation,0.875,fear,annihil
savagery,0.875,fear,savageri
deadly,0.875,fear,dead
slaughtering,0.875,fear,slaughter
suffocation,0.875,fear,suffoc
disaster,0.875,fear,disast
threatening,0.875,fear,threaten
assassin,0.875,fear,assassin
rape,0.87,fear,rape
hell,0.86,fear,hell
slaughterhouse,0.859,fear,slaughterhous
guillotine,0.859,fear,guillotin
explosive,0.859,fear,explos
annihilated,0.859,fear,annihil
demonic,0.859,fear,demon
ihatespiders,0.859,fear,ihatespid
