text,intensity,affect,stems
happiest,0.986,happiness,happiest
happiness,0.984,happiness,happi
bliss,0.971,happiness,bliss
celebrating,0.97,happiness,celebr
jubilant,0.969,happiness,jubil
ecstatic,0.954,happiness,ecstat
elation,0.944,happiness,elat
beaming,0.938,happiness,beam
bestdayever,0.938,happiness,bestdayev
loveee,0.932,happiness,lovee
celebration,0.929,happiness,celebr
awesomeness,0.926,happiness,awesom
happiness,0.924,happiness,happiness
happily,0.922,happiness,happili
fabulous,0.922,happiness,fabul
exuberance,0.922,happiness,exuber
excitement,0.922,happiness,excit
happinessous,0.922,happiness,happinessous
makesmehappy,0.922,happiness,makesmehappi
euphoria,0.922,happiness,euphoria
lovee,0.92,happiness,love
gratitude,0.914,happiness,gratitud
happydance,0.912,happiness,happyd
merriment,0.912,happiness,merriment
spectacular,0.912,happiness,spectacular
overhappinessed,0.909,happiness,overhappiness
purebliss,0.909,happiness,purebliss
triumphant,0.907,happiness,triumphant
lovelovelove,0.906,happiness,lovelovelov
ecstasy,0.906,happiness,ecstasi
cheerful,0.906,happiness,cheer
cheer,0.897,happiness,cheer
elated,0.894,happiness,elat
jolly,0.891,happiness,jolli
lovethis,0.891,happiness,lovethi
peaceofmind,0.891,happiness,peaceofmind
delighted,0.891,happiness,delight
exhilaration,0.891,happiness,exhilar
excitation,0.891,happiness,excit
pleasures,0.891,happiness,pleasur
laugh,0.891,happiness,laugh
marvelously,0.881,happiness,marvel
blissful,0.879,happiness,bliss
loving,0.879,happiness,love
outstanding,0.879,happiness,outstand
happinessful,0.879,happiness,happiness
pleasurable,0.877,happiness,pleasur
overthemoon,0.875,happiness,overthemoon
lovinglife,0.875,happiness,lovinglif
yaaaay,0.875,happiness,yaaaay
happyplace,0.875,happiness,happyplac
iloveher,0.875,happiness,iloveh
glee,0.875,happiness,glee
enthusiastic,0.875,happiness,enthusiast
sohappy,0.868,happiness,sohappi
superb,0.864,happiness,superb
laughing,0.864,happiness,laugh
woohoo,0.864,happiness,woohoo
wonderful,0.863,happiness,wonder
ilovechristmas,0.859,happiness,ilovechristma
hooray,0.859,happiness,hooray
brilliant,0.859,happiness,brilliant
cheering,0.859,happiness,cheer
glory,0.859,happiness,glori
tearsofhappiness,0.859,happiness,tearsofhappiness
magnificent,0.859,happiness,magnific
hallelujah,0.859,happiness,hallelujah
yayyyy,0.859,happiness,yayyyi
celebrated,0.859,happiness,celebr
loved,0.859,happiness,love
exciting,0.853,happiness,excit
heavenly,0.853,happiness,heaven
thrilled,0.851,happiness,thrill
mademyday,0.848,happiness,mademyday
hohoho,0.845,happiness,hohoho
wonderfully,0.844,happiness,wonder
blessing,0.844,happiness,bless
favoriteholiday,0.844,happiness,favoriteholiday
celebrate,0.844,happiness,celebr
celebrations,0.833,happiness,celebr
blessed,0.833,happiness,bless
festive,0.833,happiness,festiv
sweetness,0.833,happiness,sweet
paradise,0.833,happiness,paradis
marvellous,0.833,happiness,marvel
compliment,0.831,happiness,compliment
enchanting,0.828,happiness,enchant
smiling,0.828,happiness,smile
allsmiles,0.828,happiness,allsmil
love,0.828,happiness,love
homesweethome,0.826,happiness,homesweethom
thankyougod,0.824,happiness,thankyougod
marvelous,0.824,happiness,marvel
laughter,0.824,happiness,laughter
goodmood,0.819,happiness,goodmood
happyheart,0.818,happiness,happyheart
happinesss,0.818,happiness,happiness
sensational,0.818,happiness,sensat
celebratory,0.818,happiness,celebratori
excellence,0.818,happiness,excel
delightful,0.818,happiness,delight
goodness,0.818,happiness,good
excited,0.818,happiness,excit
rejoicing,0.818,happiness,rejoic
greatful,0.816,happiness,great
jovial,0.814,happiness,jovial
glorious,0.812,happiness,glorious
victorious,0.812,happiness,victori
