text,affect,stems,
heartbreaking,0.969,sadness,heartbreak
mourning,0.969,sadness,mourn
tragic,0.961,sadness,tragic
holocaust,0.953,sadness,holocaust
suicidal,0.941,sadness,suicid
misery,0.938,sadness,miseri
massacre,0.931,sadness,massacr
euthanasia,0.927,sadness,euthanasia
depression,0.925,sadness,depress
fatal,0.922,sadness,fatal
bereavement,0.922,sadness,bereav
grieving,0.922,sadness,griev
bereaved,0.92,sadness,bereav
devastation,0.917,sadness,devast
death,0.915,sadness,death
suicide,0.912,sadness,suicid
devastated,0.912,sadness,devast
catastrophe,0.911,sadness,catastroph
horrifying,0.907,sadness,horrifi
tragedy,0.906,sadness,tragedi
died,0.906,sadness,die
depressing,0.906,sadness,depress
anguish,0.902,sadness,anguish
agony,0.9,sadness,agoni
deadly,0.898,sadness,dead
weeping,0.896,sadness,weep
deceased,0.891,sadness,deceas
stillbirth,0.891,sadness,stillbirth
murderer,0.877,sadness,murder
cancer,0.875,sadness,cancer
dying,0.875,sadness,die
rape,0.875,sadness,rape
devastating,0.875,sadness,devast
sadness,0.864,sadness,sad
morbidity,0.864,sadness,morbid
execution,0.859,sadness,execut
abandonment,0.859,sadness,abandon
crucifixion,0.859,sadness,crucifixion
grief,0.859,sadness,grief
depressed,0.859,sadness,depress
perish,0.859,sadness,perish
traumatic,0.859,sadness,traumat
atrocity,0.859,sadness,atroc
cadaver,0.853,sadness,cadav
betrayed,0.848,sadness,betray
treachery,0.848,sadness,treacheri
funeral,0.844,sadness,funer
grieve,0.844,sadness,griev
murderous,0.844,sadness,murder
miserable,0.844,sadness,miser
hopelessness,0.844,sadness,hopeless
persecution,0.844,sadness,persecut
sad,0.844,sadness,sad
suffering,0.844,sadness,suffer
sorrow,0.844,sadness,sorrow
homicide,0.844,sadness,homicid
slaughtering,0.844,sadness,slaughter
destroyed,0.844,sadness,destroy
horrific,0.844,sadness,horrif
unhappiness,0.839,sadness,unhappi
crippled,0.836,sadness,crippl
bloodshed,0.836,sadness,bloodsh
pained,0.833,sadness,pain
manslaughter,0.833,sadness,manslaught
carnage,0.833,sadness,carnag
unbearable,0.83,sadness,unbear
stillborn,0.83,sadness,stillborn
torment,0.828,sadness,torment
helplessness,0.828,sadness,helpless
annihilation,0.828,sadness,annihil
slavery,0.828,sadness,slaveri
annihilated,0.828,sadness,annihil
enslaved,0.828,sadness,enslav
casualty,0.828,sadness,casualti
horrors,0.828,sadness,horror
murder,0.828,sadness,murder
mourn,0.828,sadness,mourn
morbid,0.828,sadness,morbid
abandoned,0.828,sadness,abandon
sickness,0.828,sadness,sick
mutilation,0.828,sadness,mutil
miscarriage,0.824,sadness,miscarriag
starvation,0.819,sadness,starvat
cruelty,0.812,sadness,cruelti
childloss,0.812,sadness,childloss
disgrace,0.812,sadness,disgrac
killing,0.812,sadness,kill
oppression,0.812,sadness,oppress
terrorism,0.812,sadness,terror
failure,0.812,sadness,failur
famine,0.812,sadness,famin
heartache,0.812,sadness,heartach
burial,0.812,sadness,burial
saddens,0.812,sadness,sadden
distraught,0.812,sadness,distraught
despair,0.812,sadness,despair
sadly,0.812,sadness,sad
mournful,0.812,sadness,mourn
bloody,0.806,sadness,bloodi
inhumanity,0.804,sadness,inhuman
perishing,0.804,sadness,perish
malignancy,0.803,sadness,malign
mortification,0.802,sadness,mortif
kill,0.797,sadness,kill
lifeless,0.797,sadness,lifeless
dreadful,0.797,sadness,dread
slave,0.797,sadness,slave
desolation,0.797,sadness,desol
devastate,0.797,sadness,devast
perished,0.797,sadness,perish
assassination,0.797,sadness,assassin
mortuary,0.797,sadness,mortuari
dreadfully,0.797,sadness,dread
leukemia,0.797,sadness,leukemia
sarcoma,0.797,sadness,sarcoma
lethal,0.797,sadness,lethal
gallows,0.797,sadness,gallow
brokenheart,0.792,sadness,brokenheart
banishment,0.79,sadness,banish
afflict,0.789,sadness,afflict
disheartened,0.788,sadness,dishearten
bury,0.781,sadness,buri
desecration,0.781,sadness,desecr
demoralized,0.781,sadness,demor
tumour,0.781,sadness,tumour
terrorize,0.781,sadness,terror
crying,0.781,sadness,cri
heartbreak,0.781,sadness,heartbreak
die,0.773,sadness,die
lynch,0.773,sadness,lynch
sufferer,0.77,sadness,suffer
loneliness,0.766,sadness,loneli
abortion,0.766,sadness,abort
